target,horizon_weeks,variant,cutoff,n_polls,p_right_bloc_ahead,right_bloc_ahead,brier_bloc,crps_pp,energy_pp,log_score_share,mae_pp,coverage_50,coverage_90,crps_pp[National],error_pp[National],sd_pp[National],pit[National],crps_pp[Labour],error_pp[Labour],sd_pp[Labour],pit[Labour],crps_pp[Green],error_pp[Green],sd_pp[Green],pit[Green],crps_pp[ACT],error_pp[ACT],sd_pp[ACT],pit[ACT],crps_pp[NZ First],error_pp[NZ First],sd_pp[NZ First],pit[NZ First],crps_pp[Te Pāti Māori],error_pp[Te Pāti Māori],sd_pp[Te Pāti Māori],pit[Te Pāti Māori],crps_pp[New Conservative],error_pp[New Conservative],sd_pp[New Conservative],pit[New Conservative],crps_pp[United Future],error_pp[United Future],sd_pp[United Future],pit[United Future],crps_pp[TOP],error_pp[TOP],sd_pp[TOP],pit[TOP]
2023,4,base,2023-09-16,366,0.638,true,0.131044,0.8173174437884002,2.9123421983682327,22.42443260765344,1.22833136848041,0.7142857142857143,1.0,1.875714389722349,-3.124629573822024,3.587010145187378,0.798,1.1834286686092612,1.740202026367188,4.129706859588623,0.35,0.4944717859272656,-0.5175450599193567,1.7384525537490845,0.666,1.2963357259147608,2.3668835318088526,2.898790121078491,0.214,0.4202781775206702,-0.4728132003545764,1.3581491708755493,0.682,0.16732586695706458,-0.06661155998706828,0.708484411239624,0.574,,,,,,,,,0.2836674918674304,-0.3096346271038056,0.8250651955604553,0.719
2023,8,base,2023-08-19,358,0.571,true,0.18404100000000004,1.549071944584206,5.421955390003468,19.97949865836732,2.5721156321253105,0.2857142857142857,1.0,3.1382570434850474,-5.0256422328949,4.906848907470703,0.852,2.58797162517488,4.610457735061646,6.056805610656738,0.222,1.3725245058637103,-2.106885776519775,1.8787871599197388,0.86,2.176333802235982,4.203240797519683,4.779679298400879,0.171,1.0258316889075008,-1.5206297004222873,1.4003335237503052,0.877,0.22965028772981835,0.317463634610176,1.00486159324646,0.426,,,,,,,,,0.3129346586925026,-0.22048954784870156,1.231048822402954,0.688
2017,1,gauss,2017-09-16,211,0.336,true,0.4408959999999999,0.6452927766200612,3.2369508304600036,33.90377870666637,0.9561594868986867,0.875,1.0,1.4288542440980674,-2.128851485252381,4.24173641204834,0.709,2.7719774628859755,4.4820458745956415,4.7032670974731445,0.164,0.36592239410668614,-0.3918275576829916,1.2250202894210815,0.656,0.03478294459307801,0.03478535264730452,0.1470063179731369,0.453,0.44118214510269466,-0.5793365955352778,1.3962482213974,0.684,0.07340652779809664,-0.005128376483917209,0.3350602388381958,0.554,0.0327583059143764,-0.014961289949715116,0.12698553502559662,0.647,0.013458188461515455,-0.012339363042265176,0.04246962442994118,0.716,,,,
2017,26,gauss,2017-03-25,191,0.841,true,0.02528100000000001,1.4256773543805012,6.151724793578528,21.952647348369503,2.032405136446468,0.5,0.625,1.4806348577409973,2.3685126781463617,3.934563398361206,0.262,5.00658792037815,-7.187479629516602,4.221487045288086,0.95,3.6037655255173155,4.353092949390411,1.3604437112808228,0.003,0.04786656272119144,0.013263046741485585,0.21753811836242676,0.527,0.6578656108547003,1.1000868558883672,2.7489562034606934,0.379,0.4153419050596048,0.8124487918615342,0.8857225775718689,0.129,0.07698632489554526,0.20126929715275765,0.364693284034729,0.307,0.11637012787650501,0.22308784287422895,0.2619978189468384,0.037,,,,
2017,4,gauss,2017-08-26,205,0.626,true,0.139876,0.758460076323751,3.3474387962303753,31.25578387881274,1.084652020231588,0.625,1.0,1.0189014456719165,-0.5412042856216437,4.477029800415039,0.553,2.2191062567612536,-3.5367934846878057,5.086144924163818,0.767,1.49581415851824,2.284715663194656,1.5344966650009155,0.06,0.048715462918859,0.07944231666624545,0.2011604607105255,0.383,1.1344833134099845,2.037461537122727,2.331883192062378,0.2,0.098212398589598,0.11795726388692859,0.47993144392967224,0.464,0.04083065331809545,0.06754986219108107,0.23416413366794586,0.498,0.011616921402061347,0.012091748481616378,0.07112725079059601,0.538,,,,
2017,8,gauss,2017-07-29,199,0.921,true,0.006240999999999994,1.9343408819974053,8.79798451236081,24.00555511191993,2.5807207972998727,0.375,0.75,1.820293122321366,3.04959111213684,3.8043408393859863,0.212,7.83002079925269,-9.862264885902405,3.6839563846588135,0.991,4.180109213520588,4.92064912199974,1.3501466512680054,0.0,0.060617402896587756,0.11313495971262454,0.22247552871704102,0.312,1.372297094107792,2.417291390895844,2.4817955493927,0.166,0.09198068712286651,0.03449623256921771,0.4319799244403839,0.527,0.060120539524861405,0.13943192292004825,0.24260270595550537,0.301,0.0592881972324895,0.10890675226226448,0.10007566213607788,0.071,,,,
2020,1,gauss,2020-10-10,256,0.01,false,0.0001,1.0783502871718775,3.072564370980879,14.491186437913896,1.6579795247316353,0.6,1.0,2.3415974711489653,3.749943656921384,2.9504213333129883,0.097,1.3498198871803284,-2.054597268104552,3.9775516986846924,0.691,1.014710872728117,-1.4592382466793064,1.0487186908721924,0.919,0.5023734698623421,0.7832344210147862,2.0297353267669678,0.38,0.18324973493963462,-0.24288403093814837,0.5204459428787231,0.713,,,,,,,,,,,,,,,,
2020,26,gauss,2020-04-18,241,0.253,false,0.064009,4.424474190471885,13.040339257731105,2.4822027381346263,5.965572260081766,0.0,0.6,12.04253931089729,15.030370039939879,5.354994773864746,0.004,4.2638513187384595,-6.983376870155333,7.2517266273498535,0.828,0.9080647340390458,-1.367771193981171,1.8076667785644531,0.792,4.156502906021914,-4.9570845851302145,1.8483295440673828,0.973,0.7514126826627179,1.4892586112022401,1.7588863372802734,0.164,,,,,,,,,,,,,,,,
2020,4,gauss,2020-09-19,251,0.017,false,0.00028900000000000003,1.5809696061627057,4.5931798565777395,11.364363468409575,2.169690125107765,0.4,1.0,2.8699315772795657,4.7848054599761936,5.220090866088867,0.189,1.9484764936482906,1.9598619842529308,7.5032806396484375,0.393,0.9588133538738266,-1.4303746974468234,1.7558839321136475,0.808,1.901529394814594,-2.5674291366338724,2.713280200958252,0.862,0.22609721119725146,0.10597934722900403,1.0557295083999634,0.523,,,,,,,,,,,,,,,,
2020,8,gauss,2020-08-22,250,0.021,false,0.00044100000000000004,1.8118070848382861,5.200689472626033,10.816043133123037,2.701591262042522,0.4,0.8,1.6700692129084458,2.675194425582883,5.49068021774292,0.319,3.3128476237076536,5.516244640350343,7.807650566101074,0.224,1.9505481114368888,-2.6448003357648853,1.465422511100769,0.955,1.8837077226202827,-2.4377555066347116,3.234159231185913,0.852,0.24186275351815853,-0.2339614018797873,0.8593892455101013,0.656,,,,,,,,,,,,,,,,
